councillor_name,ward_name,party_name,councillor_url,councillor_id,page_last_updated,joined_council,office_expires,council_service,telephone,email,has_surgery,surgery_summary,register_of_interests_url
Rajbir Singh,Bartley Green,Reform UK,https://www.birmingham.gov.uk/councillors/79/rajbir_singh,79,2026-05-15,To be confirmed,2030,To be confirmed,,,True,Bartley Green Ward @ Reform UK Party,
Shuranjeet Singh,Soho & Jewellery Quarter,Labour,https://www.birmingham.gov.uk/councillors/105/shuranjeet_singh,105,2026-05-15,,2030,,,,True,Soho & Jewellery Quarter Ward @ Labour Party,
Martin Smith,Kings Norton North,Reform UK,https://www.birmingham.gov.uk/councillors/190/martin_smith,190,2026-05-15,8 May 2026,2030,8 May 2026 to date,,,True,Kings Norton North Ward @ Reform UK Party,
Christopher Steele,Bartley Green,Reform UK,https://www.birmingham.gov.uk/councillors/152/christopher_steele,152,2026-05-15,To be confirmed,2030,To be confirmed,,,True,Bartley Green Ward @ Reform UK Party,
Taj Uddin,Lozells,Independent,https://www.birmingham.gov.uk/councillors/193/taj_uddin,193,2026-05-15,8 May 2026,2030,8 May 2026 to date,,,True,Lozells Ward @ Independent Party,
Cherie Waddingham,Weoley & Selly Oak,Reform UK,https://www.birmingham.gov.uk/councillors/182/cherie_waddingham,182,2026-05-15,8 May 2026,2030,May 2026 to date,,,True,Weoley & Selly Oak Ward @ Reform UK Party,
Penny Wagg,Acocks Green,Liberal Democrat,https://www.birmingham.gov.uk/councillors/153/penny_wagg,153,2026-05-11,1 May 2003,2030,"May 2003 to May 2011, May 2022 to date",,,True,Acocks Green Ward @ Liberal Democrat Party,https://www.birmingham.gov.uk/downloads/file/23511/councillor_penny_wagg
Anthony Ward,Longbridge & West Heath,Reform UK,https://www.birmingham.gov.uk/councillors/108/anthony_ward,108,2026-05-15,8 May 2026,2030,8 May 2026 to date,,,True,Longbridge & West Heath Ward @ Reform UK Party,
Rebecca Waters,Rubery & Rednal,Reform UK,https://www.birmingham.gov.uk/councillors/138/rebecca_waters,138,2026-05-15,,2030,,,,True,Rubery & Rednal Ward @ Reform UK Party,
Sarah Willetts,Perry Common,Reform UK,https://www.birmingham.gov.uk/councillors/184/sarah_willetts,184,2026-05-15,,2030,,,,True,Perry Common Ward @ Reform UK Party,
Ken Wood,Sutton Walmley & Minworth,Conservative,https://www.birmingham.gov.uk/councillors/119/ken_wood,119,2026-05-15,1 May 2008,2030,"May 2008 to May 2012, May 2014 to date",,,True,Sutton Walmley & Minworth Ward @ Conservative Party,https://www.birmingham.gov.uk/downloads/file/3667/councillor_ken_wood
Alex Yip,Sutton Wylde Green,Conservative,https://www.birmingham.gov.uk/councillors/120/alex_yip,120,2026-05-11,8 May 2015,2030,May 2015 to date,,,True,Sutton Wylde Green Ward @ Conservative Party,https://www.birmingham.gov.uk/downloads/file/3668/councillor_alex_yip
Sarina Younas,North Edgbaston,Labour,https://www.birmingham.gov.uk/councillors/110/sarina_younas,110,2026-05-15,8 May 2026,2030,8 May 2026 to date,,,True,North Edgbaston Ward @ Labour Party,
