person_id,person_name,election_date,ward_name,votes_received,is_elected,party_name,source_url
c7107b225d7f3a21,Guest Martin John,2022-05-05,Bordesley and Highgate Ward,132,False,Green Party,https://www.birmingham.gov.uk/directory_record/370716/bordesley_and_highgate_ward_results
32606fe94344d82b,Mosquito Yvonne Maria,2022-05-05,Bordesley and Highgate Ward,925,False,Labour Party,https://www.birmingham.gov.uk/directory_record/370716/bordesley_and_highgate_ward_results
7efc042f17bd1e4d,Talukder Zia,2022-05-05,Bordesley and Highgate Ward,311,False,Local Conservatives,https://www.birmingham.gov.uk/directory_record/370716/bordesley_and_highgate_ward_results
20a6ebb99c9b876b,Woollard Ed,2022-05-05,Bordesley and Highgate Ward,247,False,Workers Party - Birmingham,https://www.birmingham.gov.uk/directory_record/370716/bordesley_and_highgate_ward_results
015cc7603838c32b,Aziz Raqeeb,2022-05-05,Bordesley Green Ward,1489,False,Labour Party,https://www.birmingham.gov.uk/directory_record/370717/bordesley_green_ward_results
9b95f0cf538e8ee6,Burkey Wajad,2022-05-05,Bordesley Green Ward,397,False,Local Conservatives,https://www.birmingham.gov.uk/directory_record/370717/bordesley_green_ward_results
77c118a35d5f5b98,Moynihan Gerry,2022-05-05,Bordesley Green Ward,309,False,Liberal Democrats,https://www.birmingham.gov.uk/directory_record/370717/bordesley_green_ward_results
05fd175a3d752828,Curtis Robert Turner,2022-05-05,Bournbrook and Selly Park Ward,202,False,Liberal Democrats,https://www.birmingham.gov.uk/directory_record/370722/bournbrook_and_selly_park_ward_results
ce0d15f4a19365af,Gilbert Patrick Wiliam,2022-05-05,Bournbrook and Selly Park Ward,243,False,Liberal Democrats,https://www.birmingham.gov.uk/directory_record/370722/bournbrook_and_selly_park_ward_results
910cf69c4ff82b2a,Green Tom,2022-05-05,Bournbrook and Selly Park Ward,142,False,Trade Unionist and Socialist Coalition,https://www.birmingham.gov.uk/directory_record/370722/bournbrook_and_selly_park_ward_results
5b4982d865bbba2e,Jones Brigid,2022-05-05,Bournbrook and Selly Park Ward,1942,False,Labour and Co-operative Party,https://www.birmingham.gov.uk/directory_record/370722/bournbrook_and_selly_park_ward_results
