person_id,person_name,party_name,effective_from,effective_to,is_current,source_url
05fd175a3d752828,Curtis Robert Turner,Liberal Democrats,2022-05-05,,True,https://www.birmingham.gov.uk/directory_record/370722/bournbrook_and_selly_park_ward_results
ce0d15f4a19365af,Gilbert Patrick Wiliam,Liberal Democrats,2022-05-05,,True,https://www.birmingham.gov.uk/directory_record/370722/bournbrook_and_selly_park_ward_results
910cf69c4ff82b2a,Green Tom,Trade Unionist and Socialist Coalition,2022-05-05,,True,https://www.birmingham.gov.uk/directory_record/370722/bournbrook_and_selly_park_ward_results
5b4982d865bbba2e,Jones Brigid,Labour and Co-operative Party,2022-05-05,,True,https://www.birmingham.gov.uk/directory_record/370722/bournbrook_and_selly_park_ward_results
1529c5e37b14c979,McCarthy Karen Teresa,Labour and Co-operative Party,2022-05-05,,True,https://www.birmingham.gov.uk/directory_record/370722/bournbrook_and_selly_park_ward_results
a61ed939a9ba4814,Nela Musa,Local Conservatives,2022-05-05,,True,https://www.birmingham.gov.uk/directory_record/370722/bournbrook_and_selly_park_ward_results
fc305d2a10b0647e,Nelson Jane Elizabeth,Green Party,2022-05-05,,True,https://www.birmingham.gov.uk/directory_record/370722/bournbrook_and_selly_park_ward_results
82213ed78b566fbe,Neville Mathew John,Green Party,2022-05-05,,True,https://www.birmingham.gov.uk/directory_record/370722/bournbrook_and_selly_park_ward_results
01f3cf96b5dc7e47,Rashid Tariq,Local Conservatives,2022-05-05,,True,https://www.birmingham.gov.uk/directory_record/370722/bournbrook_and_selly_park_ward_results
5ccfbe8e025e9069,Clements Liz,Labour Party,2022-05-05,,True,https://www.birmingham.gov.uk/directory_record/370715/bournville_and_cotteridge_ward_results
554f31c315414240,Dawkins Nigel,Local Conservatives,2022-05-05,,True,https://www.birmingham.gov.uk/directory_record/370715/bournville_and_cotteridge_ward_results
5e9bf5f2abed94a1,Dixon Jack,Local Conservatives,2022-05-05,,True,https://www.birmingham.gov.uk/directory_record/370715/bournville_and_cotteridge_ward_results
d7b678b344afd3f3,Grindrod Fred,Labour Party,2022-05-05,,True,https://www.birmingham.gov.uk/directory_record/370715/bournville_and_cotteridge_ward_results
6afb52c221d84fa8,Hentsch Phillippa Mary Elizabeth,Liberal Democrats,2022-05-05,,True,https://www.birmingham.gov.uk/directory_record/370715/bournville_and_cotteridge_ward_results
3e55fd5b68214173,Mabbett Ben,Green Party,2022-05-05,,True,https://www.birmingham.gov.uk/directory_record/370715/bournville_and_cotteridge_ward_results
f9821224d61ed716,Masters Rob,Green Party,2022-05-05,,True,https://www.birmingham.gov.uk/directory_record/370715/bournville_and_cotteridge_ward_results
2e15cfccfe630c8a,Radciffe David Stephen,Liberal Democrats,2022-05-05,,True,https://www.birmingham.gov.uk/directory_record/370715/bournville_and_cotteridge_ward_results
7145a9c4bb19fd27,Barker David Seán,Labour and Co-operative Party,2022-05-05,,True,https://www.birmingham.gov.uk/directory_record/370714/brandwood_and_kings_heath_ward_results
7c3d8cbe6c29f2c5,Bevin Phil,Workers Party - Birmingham,2022-05-05,,True,https://www.birmingham.gov.uk/directory_record/370714/brandwood_and_kings_heath_ward_results
4b06b1a5035298c9,Cox Patrick Hugo Anthony,Green Party,2022-05-05,,True,https://www.birmingham.gov.uk/directory_record/370714/brandwood_and_kings_heath_ward_results
137079c5cd545335,Hudson Mark,Independent,2022-05-05,,True,https://www.birmingham.gov.uk/directory_record/370714/brandwood_and_kings_heath_ward_results
290b179ad340376a,Hussain Asia,Local Conservatives,2022-05-05,,True,https://www.birmingham.gov.uk/directory_record/370714/brandwood_and_kings_heath_ward_results
ca812292b4bbd90a,Mullaney Martin James Paul,Liberal Democrats,2022-05-05,,True,https://www.birmingham.gov.uk/directory_record/370714/brandwood_and_kings_heath_ward_results
0c57a422def54791,Stanley Chris,Liberal Democrats,2022-05-05,,True,https://www.birmingham.gov.uk/directory_record/370714/brandwood_and_kings_heath_ward_results
793d64131ae252d4,Trickett Lisa Stephanie,Labour and Co-operative Party,2022-05-05,,True,https://www.birmingham.gov.uk/directory_record/370714/brandwood_and_kings_heath_ward_results
2ae93e1683e7714e,Voigt Astrid Gisela Margarete,Green Party,2022-05-05,,True,https://www.birmingham.gov.uk/directory_record/370714/brandwood_and_kings_heath_ward_results
301a958e109e4ea0,Whitby Harvey Stuart,Local Conservatives,2022-05-05,,True,https://www.birmingham.gov.uk/directory_record/370714/brandwood_and_kings_heath_ward_results
116a59d1015dadec,Wilson Lauren Elisse,Workers Party - Birmingham,2022-05-05,,True,https://www.birmingham.gov.uk/directory_record/370714/brandwood_and_kings_heath_ward_results
2b29c8e1a775b566,Donaldson Diane,Labour Party,2022-05-05,,True,https://www.birmingham.gov.uk/directory_record/370706/bromford_and_hodge_hill_ward_results
7131481606beaa8f,Higgs James,Local Conservatives,2022-05-05,,True,https://www.birmingham.gov.uk/directory_record/370706/bromford_and_hodge_hill_ward_results
f6adafe1fe88573a,Khan Javed,Liberal Democrats,2022-05-05,,True,https://www.birmingham.gov.uk/directory_record/370706/bromford_and_hodge_hill_ward_results
92fae1d2a89552ec,Mahmood Majid,Labour Party,2022-05-05,,True,https://www.birmingham.gov.uk/directory_record/370706/bromford_and_hodge_hill_ward_results
4f779ae25a851a4f,Mehmood Asad,Liberal Democrats,2022-05-05,,True,https://www.birmingham.gov.uk/directory_record/370706/bromford_and_hodge_hill_ward_results
b9ea7ecf248cc10b,Phillpotts Jack Andrew,Green Party,2022-05-05,,True,https://www.birmingham.gov.uk/directory_record/370706/bromford_and_hodge_hill_ward_results
dd7d816beb17c1f3,Zychon James John Francis,Local Conservatives,2022-05-05,,True,https://www.birmingham.gov.uk/directory_record/370706/bromford_and_hodge_hill_ward_results
3e3d51903137490d,Goodwin Ray,Labour Party,2022-05-05,,True,https://www.birmingham.gov.uk/directory_record/370732/castle_vale_ward_results
0df847a20af7a2cc,Macefield John Dell,Green Party,2022-05-05,,True,https://www.birmingham.gov.uk/directory_record/370732/castle_vale_ward_results
3221331c8bcdb259,Romain Tyrese Raymond Kingsley,Local Conservatives,2022-05-05,,True,https://www.birmingham.gov.uk/directory_record/370732/castle_vale_ward_results
d629c9c289717bfa,Sucilla-O'Sullivan Kris,Trade Unionist and Socialist Coalition,2022-05-05,,True,https://www.birmingham.gov.uk/directory_record/370732/castle_vale_ward_results
bdb7a4aabb723f5f,Bertram Christopher John,Liberal Democrats,2022-05-05,,True,https://www.birmingham.gov.uk/directory_record/370733/druids_heath_and_monyhull_ward_results
cb7bfdc5f5b300a7,Fuller Andrew Michael,Local Conservatives,2022-05-05,,True,https://www.birmingham.gov.uk/directory_record/370733/druids_heath_and_monyhull_ward_results
615b87ff4fffa214,Leddy Mike,Labour Party,2022-05-05,,True,https://www.birmingham.gov.uk/directory_record/370733/druids_heath_and_monyhull_ward_results
456971b9721367c6,Pritchard Julien,Green Party,2022-05-05,,True,https://www.birmingham.gov.uk/directory_record/370733/druids_heath_and_monyhull_ward_results
64d75f0a77fba5fd,Alden Deirdre Caroline,Local Conservatives,2022-05-05,,True,https://www.birmingham.gov.uk/directory_record/370734/edgbaston_ward_results
9a8ead56ffbed65f,Awasthi Ashish,Green Party,2022-05-05,,True,https://www.birmingham.gov.uk/directory_record/370734/edgbaston_ward_results
26c13da1aba8cd8d,Bennett Matt,Local Conservatives,2022-05-05,,True,https://www.birmingham.gov.uk/directory_record/370734/edgbaston_ward_results
5b1c49a38c0a019a,Bryant James Liam,Liberal Democrats,2022-05-05,,True,https://www.birmingham.gov.uk/directory_record/370734/edgbaston_ward_results
f1de3bd8920bf86f,Hill Marie Joann,Labour Party,2022-05-05,,True,https://www.birmingham.gov.uk/directory_record/370734/edgbaston_ward_results
657d1f5da5bd7408,Kaur Bal Baljit,Labour Party,2022-05-05,,True,https://www.birmingham.gov.uk/directory_record/370734/edgbaston_ward_results
9667ba5d5c379dec,Scott Jamie Christian,Liberal Democrats,2022-05-05,,True,https://www.birmingham.gov.uk/directory_record/370734/edgbaston_ward_results
a433c9cd7bd1499a,Alden Robert James Cambray,Local Conservatives,2022-05-05,,True,https://www.birmingham.gov.uk/directory_record/370735/erdington_ward_results
be39c1df3019496e,Amin Mohammed,Liberal Democrats,2022-05-05,,True,https://www.birmingham.gov.uk/directory_record/370735/erdington_ward_results
f70b1253cfb7592a,Bi Suryiah,Labour Party,2022-05-05,,True,https://www.birmingham.gov.uk/directory_record/370735/erdington_ward_results
65a962b554fdad8e,Clawley Hazel Marjorie,Green Party,2022-05-05,,True,https://www.birmingham.gov.uk/directory_record/370735/erdington_ward_results
47e139434522b339,Dad Basharat,Labour Party,2022-05-05,,True,https://www.birmingham.gov.uk/directory_record/370735/erdington_ward_results
08ba11fe6c00200d,Ferguson Andrew McKenzie,Green Party,2022-05-05,,True,https://www.birmingham.gov.uk/directory_record/370735/erdington_ward_results
474ef6c750796e38,Green James Richard,Liberal Democrats,2022-05-05,,True,https://www.birmingham.gov.uk/directory_record/370735/erdington_ward_results
ed4040e5a082f793,Moore Gareth Raymond,Local Conservatives,2022-05-05,,True,https://www.birmingham.gov.uk/directory_record/370735/erdington_ward_results
53f28aaabd3dfba2,Ward Corinthia Joy,Trade Unionist and Socialist Coalition Party,2022-05-05,,True,https://www.birmingham.gov.uk/directory_record/370735/erdington_ward_results
8dd86ab2bbdb8264,Beck Peter Charles,Green Party,2022-05-05,,True,https://www.birmingham.gov.uk/directory_record/370736/frankley_great_park_ward_results
ae67afbccc8d7f45,Haynes Steve,Labour and Co-operative Party,2022-05-05,,True,https://www.birmingham.gov.uk/directory_record/370736/frankley_great_park_ward_results
86edacd24d6d6c65,Lloyd Peter James,Liberal Democrats,2022-05-05,,True,https://www.birmingham.gov.uk/directory_record/370736/frankley_great_park_ward_results
4967e34525db4519,Morrall Simon,Local Conservatives,2022-05-05,,True,https://www.birmingham.gov.uk/directory_record/370736/frankley_great_park_ward_results
90e6deb46a9e105a,Hall Daphne Claire,Local Conservatives,2022-05-05,,True,https://www.birmingham.gov.uk/directory_record/370737/garretts_green_ward_results
fb6773f206b1ac2a,Khan Shaukat Ali,Liberal Democrats,2022-05-05,,True,https://www.birmingham.gov.uk/directory_record/370737/garretts_green_ward_results
c5404e952be2ada4,Miah Saddak,Labour Party,2022-05-05,,True,https://www.birmingham.gov.uk/directory_record/370737/garretts_green_ward_results
1b3ae42120d23a1f,Bridle Marje,Labour Party,2022-05-05,,True,https://www.birmingham.gov.uk/directory_record/370738/glebe_farm_and_tile_cross_ward_results
e3bd0f615ad2355a,Cotton John Leslie Barton,Labour Party,2022-05-05,,True,https://www.birmingham.gov.uk/directory_record/370738/glebe_farm_and_tile_cross_ward_results
ea49d62576a07d71,Fox Matthew,Local Conservatives,2022-05-05,,True,https://www.birmingham.gov.uk/directory_record/370738/glebe_farm_and_tile_cross_ward_results
b19e1939b5816b21,Hussain Iftekhar,Liberal Democrats,2022-05-05,,True,https://www.birmingham.gov.uk/directory_record/370738/glebe_farm_and_tile_cross_ward_results
735779825d0aa6c6,Mahmood Faisal,Local Conservatives,2022-05-05,,True,https://www.birmingham.gov.uk/directory_record/370738/glebe_farm_and_tile_cross_ward_results
a9c29330c28939c4,Norman Elizabeth Anne,Liberal Democrats,2022-05-05,,True,https://www.birmingham.gov.uk/directory_record/370738/glebe_farm_and_tile_cross_ward_results
