person_id,person_name,first_seen_ward,source_url
68048fcc63e79dc3,"Panton, Patricia Beverley",Soho and Jewellery Quarter Ward,https://www.birmingham.gov.uk/info/50385/election_2026_candidates/3246/soho_and_jewellery_quarter_ward_election_2026
8077ec088f88d10f,Parker David James,Hall Green South Ward,https://www.birmingham.gov.uk/directory_record/370745/hall_green_south_ward_results
967f1f7f7fbb022b,"Parkin, Jex",Kingstanding Ward,https://www.birmingham.gov.uk/info/50385/election_2026_candidates/3228/kingstanding_ward_election_2026
c50cab144e0ae970,"Parkin, Richard Frederick Jex",Sutton Reddicap Ward,https://www.birmingham.gov.uk/info/50385/election_2026_candidates/3254/sutton_reddicap_ward_election_2026
5d19d98f6a3dbeda,"Parmar, Harry",Sutton Roughley Ward,https://www.birmingham.gov.uk/info/50385/election_2026_candidates/3255/sutton_roughley_ward_election_2026
0f3f83d8cd06332b,Passey Louise,Sutton Vesey Ward,https://www.birmingham.gov.uk/info/50381/past_election_results/1685/local_government_election_results_may_2018/6
02933c75ff7b2cd2,"Passingham, Esther Caroline",Sutton Roughley Ward,https://www.birmingham.gov.uk/info/50385/election_2026_candidates/3255/sutton_roughley_ward_election_2026
f2900298b6b6b233,"Patel, Dhiran",Acocks Green Ward,https://www.birmingham.gov.uk/info/50385/election_2026_candidates/3196/acocks_green_ward_election_2026
31ff2893009fe0b6,Patrick Thomas,Gravelly Hill Ward,https://www.birmingham.gov.uk/directory_record/370739/gravelly_hill_ward_results
4a9f2d65363d0391,"Pattison, Joshua",North Edgbaston Ward,https://www.birmingham.gov.uk/info/50385/election_2026_candidates/3235/north_edgbaston_ward_election_2026
41cb41cc77d24f97,"Pawson, Anja",Sutton Vesey Ward,https://www.birmingham.gov.uk/info/50385/election_2026_candidates/3257/sutton_vesey_ward_election_2026
7c9bca107adac696,Payne Rick,Kingstanding Ward,https://www.birmingham.gov.uk/directory_record/370749/kingstanding_ward_results
dd47529554b7ddb5,Peace Brian Alec,Kings Norton Ward,https://www.birmingham.gov.uk/info/50381/past_election_results/1685/local_government_election_results_may_2018/3
f2a313d6dfd6fbac,Peacock Hilary Clare,Billesley Ward,https://www.birmingham.gov.uk/directory_record/370709/billesley_ward_results
acb5616ba6ea3ebb,Peacock Joseph Michael,Billesley Ward,https://www.birmingham.gov.uk/directory_record/370709/billesley_ward_results
a03ab81915366f60,"Peacock, Joe",Billesley Ward,https://www.birmingham.gov.uk/info/50385/election_2026_candidates/3202/billesley_ward_election_2026
d69a6ec34991b3c7,Pearce Susan,Longbridge and West Heath Ward,https://www.birmingham.gov.uk/info/50381/past_election_results/1685/local_government_election_results_may_2018/4
e143a358bd7dbbcb,"Pears, David Christopher",Sutton Trinity Ward,https://www.birmingham.gov.uk/info/50385/election_2026_candidates/3256/sutton_trinity_ward_election_2026
4f4af3d5095ba8c5,"Penakacherla, Nagu",Quinton Ward,https://www.birmingham.gov.uk/info/50385/election_2026_candidates/3241/quinton_ward_election_2026
08344f389b11295f,Perks Miranda Juliet,Weoley and Selly Oak Ward,https://www.birmingham.gov.uk/directory_record/370708/weoley_and_selly_oak_ward_results
e384769d261a5d26,"Perks, John",Sutton Walmley and Minworth Ward,https://www.birmingham.gov.uk/info/50385/election_2026_candidates/3258/sutton_walmley_and_minworth_ward_election_2026
4a68ccac62465e4a,"Perrott, James",Soho and Jewellery Quarter Ward,https://www.birmingham.gov.uk/info/50385/election_2026_candidates/3246/soho_and_jewellery_quarter_ward_election_2026
efa5a00c13839be7,"Perryman, Pete",Stockland Green Ward,https://www.birmingham.gov.uk/info/50385/election_2026_candidates/3251/stockland_green_ward_election_2026
8dfaed1b7bae20e5,"Peters, Nathaneal James",Sparkbrook and Balsall Heath East Ward,https://www.birmingham.gov.uk/info/50385/election_2026_candidates/3248/sparkbrook_and_balsall_heath_east_ward_election_2026
44f500176c7e066a,"Phillip, Jordan Oliver",Brandwood and Kings Heath Ward,https://www.birmingham.gov.uk/info/50385/election_2026_candidates/3208/brandwood_and_kings_heath_ward_election_2026
b9ea7ecf248cc10b,Phillpotts Jack Andrew,Bromford and Hodge Hill Ward,https://www.birmingham.gov.uk/directory_record/370706/bromford_and_hodge_hill_ward_results
5b0f4fb4cc640365,Piekarz Joseph,Sheldon Ward,https://www.birmingham.gov.uk/directory_record/370773/sheldon_ward_results
2861cf145f82fad6,"Pihlaja, Stephen",Moseley Ward,https://www.birmingham.gov.uk/info/50385/election_2026_candidates/3232/moseley_ward_election_2026
7fa44f64bf8018b5,"Pocock, Rob",Sutton Vesey Ward,https://www.birmingham.gov.uk/info/50385/election_2026_candidates/3257/sutton_vesey_ward_election_2026
ee82f47884872783,"Porteous, Edward",Perry Barr Ward,https://www.birmingham.gov.uk/info/50385/election_2026_candidates/3238/perry_barr_ward_election_2026
dce2e594d3e58f3b,"Poshakwale, Sunil",Soho and Jewellery Quarter Ward,https://www.birmingham.gov.uk/info/50385/election_2026_candidates/3246/soho_and_jewellery_quarter_ward_election_2026
687582583c84dadd,Potter Kate,Sutton Roughley Ward,https://www.birmingham.gov.uk/info/50381/past_election_results/1685/local_government_election_results_may_2018/6
624755c9fc48b523,Preston Judy,Sutton Reddicap Ward,https://www.birmingham.gov.uk/info/50381/past_election_results/1685/local_government_election_results_may_2018/6
09f8eda63725e6fb,Preston Judy Annemarie,Sutton Reddicap Ward,https://www.birmingham.gov.uk/directory_record/370725/sutton_reddicap_ward_results
74eec6fb3a52a98d,Preston Paul,Bartley Green Ward,https://www.birmingham.gov.uk/info/50381/past_election_results/1685/local_government_election_results_may_2018
02f3f44f77dbcff9,"Preston, Malcolm",Yardley West and Stechford Ward,https://www.birmingham.gov.uk/info/50385/election_2026_candidates/3264/yardley_west_and_stechford_ward_election_2026
9164c316750b9285,"Preston, Paul Simon",Bartley Green Ward,https://www.birmingham.gov.uk/info/50385/election_2026_candidates/3201/bartley_green_ward_election_2026
a9ee15caa7e1c295,"Preston, Rachel Marie",Bartley Green Ward,https://www.birmingham.gov.uk/info/50385/election_2026_candidates/3201/bartley_green_ward_election_2026
fc99cb250dd407fa,"Pritchard, Julien",Druids Heath and Monyhull Ward,https://www.birmingham.gov.uk/info/50385/election_2026_candidates/3211/druids_heath_and_monyhull_ward_election_2026
5e9dbc5ab91598b9,"Prosser, Oscar George",Edgbaston Ward,https://www.birmingham.gov.uk/info/50385/election_2026_candidates/3212/edgbaston_ward_election_2026
4cae8fa6cd63997c,Psirides Nicholas,Sheldon Ward,https://www.birmingham.gov.uk/info/50381/past_election_results/1685/local_government_election_results_may_2018/6
c21669403f2c1c43,"Puri, Manish Kumar",Sutton Walmley and Minworth Ward,https://www.birmingham.gov.uk/info/50385/election_2026_candidates/3258/sutton_walmley_and_minworth_ward_election_2026
e1949fc32cf95fb6,Qazi Nayaz Ahmed Omar,Ladywood Ward,https://www.birmingham.gov.uk/info/50381/past_election_results/1685/local_government_election_results_may_2018/4
3b35b1d3f7300001,"Qazi, Nayaz",Moseley Ward,https://www.birmingham.gov.uk/info/50385/election_2026_candidates/3232/moseley_ward_election_2026
36ea472dee37bdde,Quinn Peter Anthony,Sutton Trinity Ward,https://www.birmingham.gov.uk/directory_record/370720/sutton_trinity_ward_results
dbb678b5fcc2d69e,Quinn Victoria,Druids Heath and Monyhull Ward,https://www.birmingham.gov.uk/info/50381/past_election_results/1685/local_government_election_results_may_2018/2
d5bf5ab3b922799b,Quinnen Hendrina,Handsworth Ward,https://www.birmingham.gov.uk/directory_record/370740/handsworth_ward_results
0b8ff90a6fccc881,"Qureshi, Mansoor",Hall Green North Ward,https://www.birmingham.gov.uk/info/50385/election_2026_candidates/3218/hall_green_north_ward_election_2026
2e15cfccfe630c8a,Radciffe David Stephen,Bournville and Cotteridge Ward,https://www.birmingham.gov.uk/directory_record/370715/bournville_and_cotteridge_ward_results
26145382626305ff,"Radcliffe, David Stephen",Bournville and Cotteridge Ward,https://www.birmingham.gov.uk/info/50385/election_2026_candidates/3207/bournville_and_cotteridge_ward_election_2026
0b2eac5073d16fad,Rahman Aminur,Bromford and Hodge Hill Ward,https://www.birmingham.gov.uk/info/50381/past_election_results/1685/local_government_election_results_may_2018
5d6628049dec36ae,Rahman Enam-Ur Abu Sala Mohammed,Handsworth Ward,https://www.birmingham.gov.uk/info/50381/past_election_results/1685/local_government_election_results_may_2018/3
518d11388816be9d,Rahman Rafiqur,Glebe Farm and Tile Cross Ward,https://www.birmingham.gov.uk/info/50381/past_election_results/1685/local_government_election_results_may_2018/2
d4bbbf1b362e3a00,"Rahman, Atikur",Tyseley and Hay Mills Ward,https://www.birmingham.gov.uk/info/50385/election_2026_candidates/3260/tyseley_and_hay_mills_ward_election_2026
f9f37d1ee9aa9564,"Rahman, Enam",Handsworth Ward,https://www.birmingham.gov.uk/info/50385/election_2026_candidates/3220/handsworth_ward_election_2026
a6e909b0e63dea2e,"Rai, Esther",Northfield Ward,https://www.birmingham.gov.uk/info/50385/election_2026_candidates/3236/northfield_ward_election_2026
781261ccd5b29933,Rainbow Lauren,Quinton Ward,https://www.birmingham.gov.uk/directory_record/370768/quinton_ward_results
8246353b15b09f46,"Raman, Sathish Kumar",Heartlands Ward,https://www.birmingham.gov.uk/info/50385/election_2026_candidates/3223/heartlands_ward_election_2026
012f993535e11044,"Raman, Vaishali Sathish Kumar",Yardley East Ward,https://www.birmingham.gov.uk/info/50385/election_2026_candidates/3263/yardley_east_ward_election_2026
a387574ad953eff0,Rana Vijay,Aston Ward,https://www.birmingham.gov.uk/info/50381/past_election_results/1685/local_government_election_results_may_2018
06f5a1e72b9eac2a,Rani Farhat,Alum Rock Ward,https://www.birmingham.gov.uk/directory_record/370701/alum_rock_ward_results
